dashboard,feature,feature_match_score,feature_match_method,question,worksheet,Demographic Category-value,Demographic Category-alias,Demographic Group-value,Demographic Group-alias,Note1-alias,ATTR(Long Description)-alias,Measure Names-value,Measure Names-alias,Measure Values-alias
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Sex,Sex,Female,Female,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,658
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,White,Non-Hispanic White,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),39.5%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Black,Non Hispanic Black,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),75.8%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Hispanic,Hispanic,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),80.3%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,White,Non-Hispanic White,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),32.2%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Black,Non Hispanic Black,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),43.9%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Hispanic,Hispanic,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),60.1%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,White,Non-Hispanic White,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,35.8%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Black,Non Hispanic Black,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,61.0%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Hispanic,Hispanic,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,71.2%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,White,Non-Hispanic White,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,815
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Black,Non Hispanic Black,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,51
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Race/Ethnicity,Race/Ethnicity,Hispanic,Hispanic,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,103
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Age Group,Age Group,65+,65+,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),46.8%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Age Group,Age Group,65+,65+,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),39.4%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Age Group,Age Group,65+,65+,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Percent (copy)_529735946287837186:qk],Percentage,43.1%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Age Group,Age Group,65+,65+,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:Sample Size (copy)_529735946285486081:qk],Sample Size*,"1,002"
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,COL,College Graduate,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),47.9%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,SCOL,Some College,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),37.7%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,HS,High School Graduate,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),48.5%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,<HS,Less Than High School,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:UCI (copy)_529735946288271364:qk],95% CI (Upper),66.2%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,COL,College Graduate,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),34.4%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,SCOL,Some College,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),24.9%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,HS,High School Graduate,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),36.2%
Data Table Builder 2002-2010,"Pneumonia Shot, 65+",0.664,feature_name_fuzzy,"Never Had Pneumonia Shot, Age 65+",Data Table 2002-2010 (mobile),Education,Education,<HS,Less Than High School,"The sample size includes all survey respondents ages 65 years and older except those with missing, ""don't know"", or ""refused"" answers.",Percentage of adults 65 years and older who never had a pneumonia shot.,[federated.1vgb48v110x54q1gh5bp80qi14v1].[sum:LCI (copy)_529735946288033795:qk],95% CI (Lower),49.4%
